id,walletAddress,type,amount,price,protocol,timestamp,signature
"6xxdtvbjxkxy5dp2yugu89","BS7cQdjwz2wvukYxjzQcCmeguLZdUFCjxmqGmKpRBe3R","buy",9936.534439850004,0.0010674006404356724,"Jupiter","2025-07-09T19:00:43.624Z","hsj3cTQJMvyrked9kBXMoKoJcWVP5fwZsiDUvsrUey9MpsVXPBsaoTjqqogYbRj13U3AdQjphN7X1Kg5EVgSjWW1"
"c2o8jvsc7n73non5hmn27z","przFB6ghZfmMYxVxzJ8Y91B5Ctz19BUbN6LgGSVH8X78","sell",7791.751534178732,0.0006978684684700023,"Orca","2025-07-09T19:00:37.665Z","aJLL6H22UFPqsBRYEWJG8uScwJZB6DamEzEtiZS3XqJq4cA3BP3qxmxtwaBcSnXiCf67PGF7aFiRNbwpUqzFtg6N"
"mjorua35hx8zw02gt4rtog","Akpq3iGR14u2nYpGHteTkWyMQsTqzvH5pSPTP6RpvM25","sell",4361.075003001236,0.00017558361747899368,"Jupiter","2025-07-09T19:00:35.667Z","DdVZGXoh1XBT6jw59Yzb6UsbfnhwAeguf6kPJQumfs55d18iCP4r2hQqySy4cmDhhKuvvAL9z4GJpVF6UxMXewtp"
"brop8rhtum4fkx5dzmcj2n","jrGiTZrdfgrNvGm9eDTtEUwqeVku7yM4cV6KKcSDyzaC","buy",4069.7512292578585,0.0010477890875554546,"Jupiter","2025-07-09T19:00:27.302Z","t41UcF1q5PuDEjr2VmCLp1BYr3zKrmFBqf7FX8pxbtQXMSutzwFa8vyvnfVtWzCVmvd7JqYWqxDA2VrNQTtoim5q"
"todfpzn2e3p4qmkx4b4pxk","nuQWZnfeSLnPkHDkU7mQnGLRigkfpFF97mr4SGyviV6U","buy",4841.925639141103,0.0008576219422104951,"Orca","2025-07-09T19:00:22.817Z","5BHD2nK6e3yTJ7sTNs5LnvDSB9gYPB3BS16ypjvF3Wdqm2FM1Z3iqXLaN3ay6bDZVGc88riTDj3WANetrMVc1X2j"
"7t4vobbg39g4bmgzhno3n","BS7cQdjwz2wvukYxjzQcCmeguLZdUFCjxmqGmKpRBe3R","buy",2739.0443135003006,0.0009275071459861547,"Raydium","2025-07-09T19:00:17.538Z","iFnid45DQc2Q9gG9cvjtAoNthDR5gRSB8TSWCTX4ScU6rKXg16gAUe7F4kY4ooYGF7yEVFGtuaTjoaJbRMEYrb35"
"bbjjv9uleui5hov5rpgs","R848QiAUJHFcWYW4ZuBVp1RfoLhWABrD2wpmwfvk8zxQ","buy",5607.061803464481,0.0007103556006716696,"Serum","2025-07-09T19:00:10.407Z","tCYCKkDjfFf6XdEdcipQeb3CbyE4bn4SqBej2aZH26Smx18iXGixyyhZzHJQnT144HXjnqnsKYE9EoZgJZEjFWMM"
"0vtut5hhbrypd05hnumk84p","EgFNZsiQQko9qZZQ3joaE1oDtpwx7FBwzrXALQ3grqqc","buy",8918.12425901517,0.0008385144838918352,"Raydium","2025-07-09T19:00:01.490Z","BrnbBKzttXi6DHVisvNXHJAYhT8XJuDD7Y17x6wf3NWZDN7o7hc3jmYCPsWjBrXzssBKPHyPAHjqXvimXu31qgub"
"maa8n6dd56f03i3keayud","UBQTaK27mxbp7E6qzAj6ThGKWX1Zzk9MrSMX2U9JaeGf","sell",10058.919372937751,0.0006631786785347602,"Serum","2025-07-09T18:59:55.032Z","fySXYeFrkmHftiY1VzC2ZJPAZLaKbM2tJgMBugwF14M16ozAkWx99moK74csnSmgbV3Ke2kxtpK7BJG5cAbdpLQ8"
"93kfw1zq3ewk3p9iktace","UBQTaK27mxbp7E6qzAj6ThGKWX1Zzk9MrSMX2U9JaeGf","buy",2803.5750186988716,0.0006971222099069809,"Serum","2025-07-09T18:59:45.769Z","DfiXWZwvJw98vrjQ6SfZr45oi6FQYGrWFP4Zcxrd5DUNy5PSUewpZeXvEnVmg6pH1YEG9HxZsYd6TAuzdrdanQQ6"
"l5fuxj1n02hzniar8pia8","5vyU5SEQfuRg6K7xQFbzXSHJ6PFXmnA5kbRqP9T9vbLR","sell",5307.129878978531,0.0008121240474064875,"Orca","2025-07-09T18:59:40.123Z","vtLxowHahTN397EtRcH61Dv7gD4mqN5JX8yxxo8AYJmTGLXGGQV3p1mchr9q1unKRKQwUJpcJfJj9zwqcTZjE1Qn"
"h2b6xua0exk806zy3cc19p","przFB6ghZfmMYxVxzJ8Y91B5Ctz19BUbN6LgGSVH8X78","buy",174.02285864039902,0.000934630903339749,"Orca","2025-07-09T18:59:30.731Z","sS4pFaNUmLpEoik9m2WTzXz8D2TBvQAfm3SzJYmQMvrf1pJxqKUh4XB7kNwPWFH9DbMeoRQPKR5XRifetP7SkDp8"
"di32qee6c577dtplkar7lg","YMBDZuZoqNKq773CmMhBfyddJRXWPrxjtPGYSd8mKd8q","buy",1466.767752483664,0.0009036833239186079,"Raydium","2025-07-09T18:59:28.134Z","WRRkK4cvgYBwN3M8cYyrSjw4bpHy9oC3vy8LsTxY71t2RnTDWKfy6M7nfQNgTJWqnokVBUMWD1z1CtwaLAoVsocu"
"xjheqnur2am0gavq5bw59dn","v4hZdZtdVdEFN2CW4kVJow1ejKCx9KThfB4LPu9Uw1to","sell",4976.005512753063,0.0006749610100662171,"Serum","2025-07-09T18:59:22.879Z","J7b5rw9Y2KBunG57wPp4ZCbeSezTFmPAw2PyGWCgswWMcKqwZVG976npWBwKmpDPchL1TkxLxqSyf73Qdqj1iSFE"
"mtd114ywdp863oz8lcgscs","BS7cQdjwz2wvukYxjzQcCmeguLZdUFCjxmqGmKpRBe3R","sell",4984.579353581946,0.0008643414681396098,"Jupiter","2025-07-09T18:59:16.587Z","YTaxSMHHKTtC8RY8pJ6Q5RQ8B5ehaJMweKKk7vsYgByUaAqoaYANmZgkRQEN3i7fDkMQyFUzssGKE2KgNhb9bjr1"
"l1o4jjawq6iefoa2qmrb47","YWTpRvc75kJxm2MExKWHQiskm6dXehgUTtzWNQfnKxjv","buy",4596.603325733059,0.00015290244557124392,"Raydium","2025-07-09T18:59:15.061Z","he24zVVBNZkfmaosKR12vkkZwgPFjFBiLmE83NumM17KUJeDt6h7oRiUhRsn97gW1wxXm9ZbtEo2hXRuG2SdMNnr"
"arufh4ysbiwzb6j3r4v5","snqeUMMMQsD11A4dVt7x5WFZ6pDwRoc9reobiSnpd5Bo","sell",3521.116852020465,0.0007023172855594621,"Orca","2025-07-09T18:59:07.621Z","KB78a2FVDcCFKsMkCNQmGfgEau6Gh8F9y1LrVsC9Z2HGfaVsZbMGdwF6vkKnzb18MxmJB6kW7Ei39nXYebkFzqjD"
"r4ivmhfhw6s2vc5nusn402","wM4jHhh1TEVsL8ePBFNZdCF1uSSn3VVw9kynuXJ3SLft","sell",4547.530177752301,0.0006473983892799566,"Jupiter","2025-07-09T18:59:00.975Z","cPUuhKKdpUjVwbtsTZVBXaDmp28HhB3voSRZLgRmjM8qEHzqAxEADwsDcxMHrZberACbzwjzLxwYBCBdDos4k6aL"
"56xzeqjw0x7axnoy8ff6u","C3ddtnLw1u8S7D4K48zgoj2rgpgAFqYvjSnenb1gaoje","sell",5712.115644826398,0.0010869517566912856,"Orca","2025-07-09T18:58:52.281Z","mNDNEs8KYkX8noQm1jXBw26XTWvgVC3siLwYpSD8v7AuBCGsuMfJooX9pRJkdwowNudJd1oJW4wYUHwQT61resnE"
"mzwjpg5ksqjj9y0o1swaxq","JWerKimHcpATDG7W5sUq6myjbLVP5MinMiGy7bibDF3u","buy",2729.1024780718985,0.0010798506780483426,"Serum","2025-07-09T18:58:44.077Z","9J5kFprGV7wkLfGv4MvrsEJB69T2SNF51b7v4PQL6qfN3sGD9GHAfG8F11zLAyAfkp9wQv1duw7Kyfd1bdZgJVZV"
"celmib2dgaqt0pqpyrj2ig","PAspzUVQVziC1YjTg7DZPtVScnY7XQvWmXH2hdxZPaDb","buy",2909.507895204251,0.0005974389799405133,"Raydium","2025-07-09T18:58:37.412Z","PgiooyNM46i9YP1mrF6RH5rRCuoV4sSBqbKBUN52rQqvHbTqmJGev7YhgKxzCdxA44Kvgw3cksNYKfT6JZMFNEbq"
"2utmyywz91oqqrqdbxgsx8","iV9z7QxgGfDVZWHqmEpyNXTrqanu3WUAQ47eURs86sC6","sell",2259.3430841351637,0.0009445495304200792,"Serum","2025-07-09T18:58:29.723Z","ZmwQCmsNPveQAJcDMxczvQXmvKgn2nfGw2Ab7NNDkpQNAR1rW19A1To8EdCQTfKGjEvL2RKsBugj7uuFn8MP6c6k"
"t51hvw1i3ngf1p6xk2iszv","11yTiEYEWUjqn77avWsPpLyA2v5pTMLb2pxtpjEmCcZQ","buy",2758.931772312816,0.000280524325980171,"Raydium","2025-07-09T18:58:20.680Z","JYSap6mzmFaGao4WAQdnMFyQhQZK2TF2rpL9ZQh1aovCS24jknEpTpCXKZaC5m5NucCFmfB8WmHatu6eJxPZ2iAp"
"ltgqab8d4wptgwnasx5z6p","nzmtsBRmGbWXBs2QJnJ7Z5htoXFEo2kT5uZMtpZNuqjk","buy",7440.374125773153,0.0008450296595480929,"Serum","2025-07-09T18:58:17.776Z","gFvCvPf5ZYLgkQkL9Rxpp6Rx8Rw8mfgPcMn2Q3JPa4kUUonnNzjhgj2DhadcxMErGan39gUzhS9SZJ1EHxzUPcoo"
"9e2zd19sy7e3gs9umdzseo","72T2yCCBjdmvTh9mpqFny6H5y1FKvMpKNGTbmyBMURaa","sell",302.4513149442231,0.00022655773767081224,"Serum","2025-07-09T18:58:07.874Z","szqBU8RiJBxBJcHNvPKWrtg4ysZW1m8btyAqervpxq4AyZUbqof6PazGGZzSTRLL1tknpMfu9SkjbfioB9mmcHKo"
"byf1e3nrslblswu04qos18","XGJ4okh1zAnnUYUJatNvpNwqavmkgN4uaFRPU8yGRALv","sell",3088.397801854581,0.000788844296861176,"Serum","2025-07-09T18:58:03.221Z","LLqMuWkwYR5GRLaEMYY1o45p3bTfyxSi4QYxyaAdsGM1Eb3AYou6XZASTq2a2s3EcaAeRQRhxNeKvHaFFe6tQLUw"
"do0gg9b6gv8cs8rbpxfqq","iV9z7QxgGfDVZWHqmEpyNXTrqanu3WUAQ47eURs86sC6","buy",1727.0776802479659,0.00021693392676615445,"Orca","2025-07-09T18:57:56.079Z","TxpXFEvSptzzcSy7qBQwvNxCLDqhGiy3H9abQZiNkXnRBTSVJ5mMf3VVH6GGTy8ajjLZigPUuzAUtosni7R5rgnx"
"jhws1k6tr5l6jardgcrf","BS7cQdjwz2wvukYxjzQcCmeguLZdUFCjxmqGmKpRBe3R","sell",7254.360838394516,0.0009060908338605304,"Orca","2025-07-09T18:57:47.052Z","2qGGtNYz9xu5UQSnYJcQmaRQhJALZhnqAZD7Dx6h32n5WTN7qqWJueZsTemwMpQp9jbbu4kRLkpKdS796JYkTCFz"
"fiig3cw7q9a5mm3exarks","isdmKN328QHNcsT4y5GF4F6fgwGZVWRSEzWnNf5j61yg","sell",2466.203895798642,0.0009199909801533594,"Jupiter","2025-07-09T18:57:39.897Z","dsq7rZnma6mxwP3gM5GLAvW3QxAtJ1mzHXdmi5GAZB8rpzAf64j3tCCdGBu9vnXyZH1jmUHdF33rGVMMV38D87bD"
"ucyo4pcli9eq8wqsc7477","mz86z4iwzrsCRkvdpdqCrz86hquHhhKR64eJkRYVK69z","buy",1491.2289097958962,0.0009992962974625093,"Raydium","2025-07-09T18:57:37.871Z","pRSw9gEGyhCqDqe4qYoz3p1aY3AhSoEEL22V2oKwExj1j5Le56M75V5UY6K1WYtu9GVZC1L7J3dyTwo7qbwgAuVD"
"pa2dpmd3dnotqd4ro4mir","YzSbkEAu8dU8y4zr5RNHiRpJM44yiXoQQTyVNDvL8Wt7","buy",5349.857638156605,0.0010525455881382584,"Raydium","2025-07-09T18:57:28.585Z","tTd7JASGFwuA1pbqnGdgm5VSRFLadu4Z1uyrgqSDgA8S3SM5xtkzRCpPGZWZr1DceEA5A6ecqXAt4QosuqiYQqZq"
"1yqv9idkvilixoa0exnu1hh","xKse76iJG7X88UEEsmcpQTy6CEiC8FNhy5KzjVcyts59","sell",7779.312182006674,0.000595327677003765,"Raydium","2025-07-09T18:57:22.558Z","6MGFtYVoeiw8pU2vBiHt9WY8FJTVixNhU2BKwuSXPWz3NgtsvWy3RoS4UJ2y1jMyGqcNWgZZ5zeN18Qfmp1t2jxC"
"qnn7dgf66tijcbqnihd72","8RitUymSnNqg78iQ7HkQu2BCo3okccCYmnoV4opEWite","buy",9652.474454771891,0.00039436743790997457,"Jupiter","2025-07-09T18:57:20.810Z","uZ39w4y7xaeMiNxofx4yKZ1fRxMa2iuNAutLjNvRJ3YKwpTzBEbKdA4qQujVgiJe3fakiWYCTJMWPV1e1qDTWuKW"
"5lvogeegq2iyxqblol4j9i","wM4jHhh1TEVsL8ePBFNZdCF1uSSn3VVw9kynuXJ3SLft","buy",2182.272086132881,0.0007647669613356867,"Raydium","2025-07-09T18:57:18.485Z","dNHygA1sbrgG91oVMYmgridigSBgZK1aLNhP4JLtPobxfHbtApNwPFqb4AEVTJSpro6ixEjiwtzXQkTAW157uPhr"
"3lr1ub4hlc6t9i28vh2u1d","yUwE3zqE4sEvAtD1RxFWEsoK7UGU9aidJjkQcrih1WPH","buy",6608.966208041851,0.001085044679338168,"Orca","2025-07-09T18:57:13.674Z","2o7wVwxreFscnWX2KWJ7Y6hKTExp5FA36PtgXCRvb6yRKegdHimo2qPcdMKHG31AWEUZojftb8mj1bjj1Qgig7Mf"
